species,location,time,description,sex,feather_color,time_parsed,year,month,hour,description_length,color_count
White-throated Sparrow,New York City,25-06-2023 08:55,"A medium-sized sparrow with a black-and-white head pattern, a white throat, and a yellow spot between its eyes",Unknown,"Black, White, and Yellow",2023-06-25 08:55:00,2023,6,8,110,3
Yellow-bellied Flycatcher,Chicago,02-07-2023 11:40,"A small songbird with an olive-green back, a yellow underbody, and a distinctive eye ring",Unknown,"Olive-green, Yellow, and Black",2023-07-02 11:40:00,2023,7,11,89,3
Anna's Hummingbird,Los Angeles,19-06-2023 09:55,"A small hummingbird with a green back, a reddish-pink throat, and a metallic sheen",Male,"Green, Reddish-pink, and Metallic",2023-06-19 09:55:00,2023,6,9,82,3
Eurasian Golden Plover,Reykjavik,26-06-2023 13:20,"A medium-sized shorebird with a mottled brown plumage, a black belly, and a distinctive golden back",Unknown,"Brown, Black, and Golden",2023-06-26 13:20:00,2023,6,13,99,3
Toco Toucan,Rio de Janeiro,03-07-2023 11:35,"A large bird with a massive orange-yellow bill, a black body, and a white throat patch",Unknown,"Orange-yellow, Black, and White",2023-07-03 11:35:00,2023,7,11,86,3
Red-billed Quelea,Addis Ababa,20-06-2023 14:50,"A small bird with a brownish plumage, a red bill, and a tendency to form large flocks",Unknown,Brownish and Red,2023-06-20 14:50:00,2023,6,14,85,2
White-throated Dipper,Oslo,27-06-2023 16:15,"A small bird with a brown plumage, a white throat, and a distinctive bobbing motion",Unknown,Brown and White,2023-06-27 16:15:00,2023,6,16,83,2
Masked Lapwing,Sydney,04-07-2023 10:30,"A medium-sized wading bird with a brown back, a black face mask, and a distinctive yellow wattle",Unknown,"Brown, Black, and Yellow",2023-07-04 10:30:00,2023,7,10,96,3
Gray Jay,Yellowknife,21-06-2023 12:10,"A medium-sized bird with a gray plumage, a black cap, and a friendly disposition",Unknown,Gray and Black,2023-06-21 12:10:00,2023,6,12,80,2
Eurasian Bittern,London,28-06-2023 15:45,"A medium-sized heron-like bird with a streaked brown plumage, a long neck, and a booming call",Unknown,Brown,2023-06-28 15:45:00,2023,6,15,93,1
Reddish Egret,Galveston,05-07-2023 11:50,"A medium-sized heron with a shaggy reddish-brown plumage and a distinctive ""shuffling"" feeding behavior,Unknown,Reddish-brown",Unknown,Reddish-brown,2023-07-05 11:50:00,2023,7,11,125,1
American Goldfinch,New York City,22-06-2023 10:20,A small finch with bright yellow plumage,Male,Yellow,2023-06-22 10:20:00,2023,6,10,40,1
Rufous-tailed Hummingbird,Caracas,29-06-2023 13:40,"A small hummingbird with a bronzy-green back, a rufous tail, and a white underbody",Unknown,"Bronzy-green, Rufous, and White",2023-06-29 13:40:00,2023,6,13,82,3
Cattle Egret,Delhi,06-07-2023 11:55,"A small heron with a white plumage, a yellow bill, and a habit of following cattle",Unknown,White and Yellow,2023-07-06 11:55:00,2023,7,11,82,2
White-winged Dove,Phoenix,23-06-2023 14:10,"A medium-sized dove with a brownish-gray plumage, a white wing patch, and a long, pointed tail",Unknown,Brownish-gray and White,2023-06-23 14:10:00,2023,6,14,94,2
Greater Flamingo,Mauritius,30-06-2023 16:25,"A tall wading bird with pink plumage, a long neck, and a distinctive downward-curving bill",Unknown,Pink,2023-06-30 16:25:00,2023,6,16,90,1
Pine Grosbeak,Calgary,07-07-2023 09:40,A medium-sized finch with a red plumage and a heavy bill,Unknown,Red,2023-07-07 09:40:00,2023,7,9,56,1
Southern Cassowary,Cairns,24-06-2023 12:20,"A large flightless bird with black plumage, a bright blue head, and a casque on its head",Unknown,Black and Blue,2023-06-24 12:20:00,2023,6,12,88,2
Painted Bunting,Miami,01-07-2023 14:35,A small finch with bright multi-colored plumage,Male,Multi-colored,2023-07-01 14:35:00,2023,7,14,47,1
Common Yellowthroat,Chicago,25-06-2023 16:40,"A small warbler with a yellow underbody, a black mask, and a distinctive ""witchety-witchety"" call,Unknown,Yellow and Black",Unknown,Yellow and Black,2023-06-25 16:40:00,2023,6,16,122,2
Australasian Darter,Sydney,02-07-2023 11:55,"A medium-sized waterbird with a black-and-white plumage, a long neck, and a slender, pointed bill",Unknown,Black and White,2023-07-02 11:55:00,2023,7,11,97,2
American White Pelican,New Orleans,26-06-2023 15:20,"A large waterbird with a white plumage, a long bill, and a distinctive throat pouch",Unknown,White,2023-06-26 15:20:00,2023,6,15,83,1
European Robin,London,03-07-2023 10:30,"A small songbird with a brownish-gray back, a reddish-orange breast, and a white belly",Unknown,"Brownish-gray, Reddish-orange, and White",2023-07-03 10:30:00,2023,7,10,86,3
Oriental Darter,Bangkok,27-06-2023 12:40,"A large waterbird with a brown plumage, a long neck, and a slender, pointed bill",Unknown,Brown,2023-06-27 12:40:00,2023,6,12,80,1
Crimson Sunbird,Kuala Lumpur,04-07-2023 15:55,A small bird with a metallic crimson plumage and a curved bill,Male,Crimson,2023-07-04 15:55:00,2023,7,15,62,1
American Kestrel,New York City,28-06-2023 09:45,"A small falcon with a rusty-brown back, a white underbody, and a hooked bill",Unknown,Rusty-brown and White,2023-06-28 09:45:00,2023,6,9,76,2
White-crowned Sparrow,Seattle,05-07-2023 11:10,A medium-sized sparrow with a black-and-white head pattern and a gray underbody,Unknown,"Black, White, and Gray",2023-07-05 11:10:00,2023,7,11,79,3
Caspian Tern,Amsterdam,29-06-2023 12:30,"A large seabird with a white plumage, a black cap, and a bright red bill",Unknown,"White, Black, and Red",2023-06-29 12:30:00,2023,6,12,72,3
Northern Flicker,Denver,06-07-2023 14:40,"A medium-sized woodpecker with a brown plumage, a black crescent on its chest, and a white rump patch",Unknown,"Brown, Black, and White",2023-07-06 14:40:00,2023,7,14,101,3
Ruby-crowned Kinglet,Portland,30-06-2023 16:10,"A small bird with a greenish-gray plumage, a white eye ring, and a ruby-red crown",Male,Greenish-gray and Ruby-red,2023-06-30 16:10:00,2023,6,16,81,2
Black-headed Heron,Nairobi,07-07-2023 09:25,"A medium-sized heron with a black head, a gray body, and a long bill",Unknown,Black and Gray,2023-07-07 09:25:00,2023,7,9,68,2
Indian Roller,Delhi,24-06-2023 10:50,"A medium-sized bird with a bright blue plumage, a brown back, and a hooked bill",Unknown,"Blue, Brown, and Hooked",2023-06-24 10:50:00,2023,6,10,79,3
Gadwall,Seattle,01-07-2023 12:20,"A medium-sized dabbling duck with a mottled brown plumage, a black rear end, and a white wing patch",Unknown,"Brown, Black, and White",2023-07-01 12:20:00,2023,7,12,99,3
Northern Hawk-Owl,Yellowknife,26-06-2023 14:45,"A medium-sized owl with a brown plumage, a white facial disc, and a hooked bill",Unknown,Brown and White,2023-06-26 14:45:00,2023,6,14,79,2
Mountain Bluebird,Denver,03-07-2023 15:10,A small bird with a bright blue plumage and a rusty-orange breast,Male,Blue and Rusty-orange,2023-07-03 15:10:00,2023,7,15,65,2
Magellanic Penguin,Ushuaia,27-06-2023 16:30,"A medium-sized penguin with a black back, a white underbody, and a distinctive ""donkey-like"" call,Unknown,Black and White",Unknown,Black and White,2023-06-27 16:30:00,2023,6,16,121,2
Wood Duck,Portland,04-07-2023 09:50,"A medium-sized dabbling duck with a colorful plumage, including iridescent green, purple, and white",Male,Various colors,2023-07-04 09:50:00,2023,7,9,99,1
Long-tailed Duck,Anchorage,28-06-2023 11:15,"A medium-sized diving duck with a mottled gray-brown plumage and a long, slender tail",Unknown,Gray-brown,2023-06-28 11:15:00,2023,6,11,85,1
Black-chinned Hummingbird,Phoenix,05-07-2023 13:30,"A small hummingbird with a green back, a black throat, and a violet gorget",Male,"Green, Black, and Violet",2023-07-05 13:30:00,2023,7,13,74,3
Rhinoceros Hornbill,Kuala Lumpur,29-06-2023 15:40,"A large bird with a black plumage, a white belly, and a distinctive casque on its bill",Unknown,"Black, White, and Casque",2023-06-29 15:40:00,2023,6,15,86,3
Eastern Whip-poor-will,New York City,06-07-2023 09:55,"A medium-sized bird with a mottled brown plumage and a distinctive ""whip-poor-will"" call,Unknown,Brown",Unknown,Brown,2023-07-06 09:55:00,2023,7,9,102,1
Snow Goose,Calgary,30-06-2023 11:20,A medium-sized goose with a white plumage and black wingtips,Unknown,White and Black,2023-06-30 11:20:00,2023,6,11,60,2
Saffron Finch,Rio de Janeiro,07-07-2023 13:45,A small finch with a bright yellow plumage,Male,Yellow,2023-07-07 13:45:00,2023,7,13,42,1
Great Horned Owl,Los Angeles,23-06-2023 15:30,A large owl with a mottled brown plumage and prominent ear tufts,Unknown,Brown,2023-06-23 15:30:00,2023,6,15,64,1
Hoopoe,Istanbul,30-06-2023 16:55,"A medium-sized bird with a distinctive crest, black-and-white plumage, and a pinkish-brown body",Unknown,"Pinkish-brown, Black, and White",2023-06-30 16:55:00,2023,6,16,95,3
Yellow-headed Amazon,Mexico City,07-07-2023 11:40,"A medium-sized parrot with a green plumage, a yellow head, and a distinctive screeching call",Unknown,Green and Yellow,2023-07-07 11:40:00,2023,7,11,92,2
White-faced Ibis,San Francisco,24-06-2023 13:45,"A medium-sized wading bird with a dark plumage, a long bill, and a white face patch",Unknown,Dark and White,2023-06-24 13:45:00,2023,6,13,83,2
Cape Canary,Cape Town,01-07-2023 15:20,A small finch with a yellow plumage and a melodious song,Male,Yellow,2023-07-01 15:20:00,2023,7,15,56,1
White-throated Needletail,Tokyo,08-07-2023 09:55,"A medium-sized bird with a dark brown plumage, a white throat, and a forked tail",Unknown,Dark Brown and White,2023-07-08 09:55:00,2023,7,9,80,2
Green Heron,Miami,25-06-2023 12:30,"A small heron with a greenish-gray back, a chestnut-colored neck, and a long, pointed bill",Unknown,Greenish-gray and Chestnut,2023-06-25 12:30:00,2023,6,12,90,2
Yellow Warbler,Chicago,02-07-2023 14:40,A small songbird with a bright yellow plumage,Male,Yellow,2023-07-02 14:40:00,2023,7,14,45,1
Southern Boobook,Sydney,26-06-2023 16:55,A small owl with a brown plumage and prominent dark eyes,Unknown,Brown,2023-06-26 16:55:00,2023,6,16,56,1
Eurasian Spoonbill,Amsterdam,03-07-2023 12:10,"A large wading bird with a white plumage, a spoon-shaped bill, and a yellow face patch",Unknown,White and Yellow,2023-07-03 12:10:00,2023,7,12,86,2
Orange Bishop,Kolkata,27-06-2023 14:25,A small finch with bright orange plumage,Male,Orange,2023-06-27 14:25:00,2023,6,14,40,1
Northern Shoveler,Vancouver,04-07-2023 09:40,"A medium-sized dabbling duck with a mottled brown plumage, a distinctive shovel-shaped bill, and a white wing patch",Unknown,Brown and White,2023-07-04 09:40:00,2023,7,9,115,2
Purple Gallinule,New Orleans,28-06-2023 11:55,"A medium-sized waterbird with a dark purple-blue plumage, a green back, and a red-and-yellow bill",Unknown,"Purple-blue, Green, and Red-and-yellow",2023-06-28 11:55:00,2023,6,11,97,3
Black-backed Woodpecker,Yellowknife,05-07-2023 14:20,"A medium-sized woodpecker with a black back, a white underbody, and a yellow cap",Unknown,"Black, White, and Yellow",2023-07-05 14:20:00,2023,7,14,80,3
Cedar Waxwing,Victoria,29-06-2023 16:35,"A medium-sized bird with a sleek gray-brown plumage, a black mask, and waxy red tips on its wings",Unknown,"Gray-brown, Black, and Red",2023-06-29 16:35:00,2023,6,16,97,3
Sooty Falcon,Dubai,06-07-2023 09:50,"A medium-sized falcon with a dark brown plumage, a pale underbody, and a hooked bill",Unknown,Dark Brown and Pale,2023-07-06 09:50:00,2023,7,9,84,2
Hooded Merganser,Portland,30-06-2023 11:15,"A medium-sized diving duck with a black-and-white plumage, a distinctive black-and-white crest, and a fan-shaped tail",Male,Black and White,2023-06-30 11:15:00,2023,6,11,117,2
White-bellied Sea Eagle,Sydney,07-07-2023 12:40,"A large bird of prey with a brown plumage, a white head, and a hooked yellow bill",Unknown,"Brown, White, and Yellow",2023-07-07 12:40:00,2023,7,12,81,3
Eurasian Jackdaw,London,08-07-2023 10:25,"A medium-sized bird with a black plumage, a gray nape, and a distinctive silver-gray eye",Unknown,"Black, Gray, and Silver-gray",2023-07-08 10:25:00,2023,7,10,88,3
Scarlet Tanager,New York City,23-06-2023 09:40,A medium-sized bird with a bright red plumage and black wings,Male,Red and Black,2023-06-23 09:40:00,2023,6,9,61,2
Australasian Grebe,Perth,01-07-2023 11:45,"A small waterbird with a brownish-gray plumage, a distinctive neck pattern, and a pointed bill",Unknown,Brownish-gray,2023-07-01 11:45:00,2023,7,11,94,1
Ring-billed Gull,Chicago,24-06-2023 14:10,"A medium-sized gull with a white plumage, a gray back, and a distinctive black ring on its bill",Unknown,"White, Gray, and Black",2023-06-24 14:10:00,2023,6,14,95,3
Fork-tailed Swift,Buenos Aires,01-07-2023 16:25,"A medium-sized bird with a black plumage, a deeply forked tail, and a swift flight",Unknown,Black,2023-07-01 16:25:00,2023,7,16,82,1
Elegant Tern,San Diego,08-07-2023 09:55,"A medium-sized seabird with a white plumage, a black cap, and a distinctive long, slender bill",Unknown,White and Black,2023-07-08 09:55:00,2023,7,9,94,2
Eastern Bluebird,Atlanta,23-06-2023 11:10,"A small bird with a bright blue upper body, a rusty-orange breast, and a white underbody",Male,"Blue, Rusty-orange, and White",2023-06-23 11:10:00,2023,6,11,88,3
Red-crowned Crane,Tokyo,30-06-2023 12:30,"A large crane with a white plumage, a red crown, and a distinctive dance during courtship",Unknown,White and Red,2023-06-30 12:30:00,2023,6,12,89,2
Yellow-rumped Warbler,Seattle,07-07-2023 13:45,"A small warbler with a grayish-brown back, a yellow rump, and a yellow throat patch",Unknown,Grayish-brown and Yellow,2023-07-07 13:45:00,2023,7,13,83,2
African Black Duck,Nairobi,24-06-2023 15:10,A medium-sized duck with a dark brown plumage and a yellow bill,Unknown,Dark Brown and Yellow,2023-06-24 15:10:00,2023,6,15,63,2
Indian Pitta,Kolkata,01-07-2023 16:30,"A small bird with a colorful plumage, including green, blue, and red",Unknown,"Green, Blue, and Red",2023-07-01 16:30:00,2023,7,16,68,3
Gray Heron,Amsterdam,25-06-2023 09:45,"A tall wading bird with a gray plumage, a long neck, and a dagger-like bill",Unknown,Gray,2023-06-25 09:45:00,2023,6,9,75,1
Hooded Warbler,New York City,02-07-2023 11:15,"A small warbler with a black hood, a bright yellow underbody, and a distinctive ""witchety-witchety"" call,Male,Black, Yellow, and White",Male,"Black, Yellow, and White",2023-07-02 11:15:00,2023,7,11,134,3
Brown Wood Owl,Kuala Lumpur,26-06-2023 12:40,"A medium-sized owl with a brown plumage, a large rounded head, and prominent ear tufts",Unknown,Brown,2023-06-26 12:40:00,2023,6,12,86,1
Black-throated Blue Warbler,"Washington,D.C.",03-07-2023 15:55,A small warbler with a black-and-blue plumage,Male,Black and Blue,2023-07-03 15:55:00,2023,7,15,45,2
Long-billed Curlew,Seattle,27-06-2023 09:25,"A large wading bird with a long curved bill, a mottled brown plumage, and a distinctive ""curlee"" call,Unknown,Brown",Unknown,Brown,2023-06-27 09:25:00,2023,6,9,115,1
Gilded Flicker,Phoenix,04-07-2023 11:40,"A medium-sized woodpecker with a brown plumage, a black crescent on its chest, and a distinctive golden-yellow underwing",Male,"Brown, Black, and Golden-yellow",2023-07-04 11:40:00,2023,7,11,120,3
Mute Swan,London,28-06-2023 14:05,"A large swan with a white plumage, an orange bill, and a graceful neck",Unknown,White and Orange,2023-06-28 14:05:00,2023,6,14,70,2
Gray Partridge,Calgary,05-07-2023 10:25,A medium-sized gamebird with a grayish-brown plumage and a distinctive call,Unknown,Grayish-brown,2023-07-05 10:25:00,2023,7,10,75,1
Red-legged Seriema,Buenos Aires,29-06-2023 13:40,"A medium-sized bird with a brown plumage, long legs, and a loud, piercing call",Unknown,Brown,2023-06-29 13:40:00,2023,6,13,78,1
Marabou Stork,Mombasa,06-07-2023 15:05,"A large wading bird with a bald head, a grayish-brown plumage, and a long, down-curved bill",Unknown,Grayish-brown,2023-07-06 15:05:00,2023,7,15,91,1
Snow Bunting,Anchorage,30-06-2023 16:30,"A medium-sized bunting with a white plumage, black wingtips, and a rusty-brown back",Unknown,"White, Black, and Rusty-brown",2023-06-30 16:30:00,2023,6,16,83,3
Palm Cockatoo,Cairns,07-07-2023 09:55,"A large cockatoo with a black plumage, a distinctive red crest, and a powerful bill",Unknown,"Black, Red, and Powerful",2023-07-07 09:55:00,2023,7,9,83,3
Red-billed Tropicbird,Mauritius,26-06-2023 11:20,"A medium-sized seabird with a white plumage, a long, thin red bill, and a distinctive long, white tail streamers",Unknown,White and Red,2023-06-26 11:20:00,2023,6,11,112,2
Bald Eagle,Seattle,01-07-2023 12:40,"A large bird of prey with a brown plumage, a white head, and a hooked yellow bill",Unknown,"Brown, White, and Yellow",2023-07-01 12:40:00,2023,7,12,81,3
Anna's Hummingbird,San Francisco,08-07-2023 14:10,"A small hummingbird with a green back, a reddish-pink throat, and a metallic sheen",Male,"Green, Reddish-pink, and Metallic",2023-07-08 14:10:00,2023,7,14,82,3
Black-throated Sparrow,Tucson,27-06-2023 15:30,A small sparrow with a black-and-white head pattern and a gray underbody,Unknown,"Black, White, and Gray",2023-06-27 15:30:00,2023,6,15,72,3
Secretary Bird,Johannesburg,02-07-2023 16:55,"A large bird of prey with a gray plumage, a distinctive crested head, and long legs",Unknown,Gray,2023-07-02 16:55:00,2023,7,16,83,1
Common Pheasant,London,28-06-2023 09:45,"A large gamebird with a mottled brown plumage and a long, pointed tail",Male,Brown,2023-06-28 09:45:00,2023,6,9,70,1
Blackpoll Warbler,New York City,03-07-2023 11:10,"A small warbler with a black cap, a white underbody, and a gray back",Male,"Black, White, and Gray",2023-07-03 11:10:00,2023,7,11,68,3
Pacific Loon,Victoria,29-06-2023 12:35,"A medium-sized diving bird with a black head, a checkered black-and-white back, and a white underbody",Unknown,"Black, White, and Checkered",2023-06-29 12:35:00,2023,6,12,101,3
Mountain Quail,Seattle,04-07-2023 15:50,"A medium-sized quail with a brown plumage, a distinctive crest, and a gray face",Unknown,"Brown, Crest, and Gray",2023-07-04 15:50:00,2023,7,15,79,3
Green-winged Teal,Calgary,30-06-2023 09:55,"A small dabbling duck with a brownish-plumage, a green wing patch, and a white underbody",Unknown,"Brownish, Green, and White",2023-06-30 09:55:00,2023,6,9,88,3
Siberian Rubythroat,Moscow,05-07-2023 11:20,"A small bird with a brownish-gray plumage, a reddish throat patch, and a melodious song",Unknown,Brownish-gray and Reddish,2023-07-05 11:20:00,2023,7,11,87,2
Northern Goshawk,Yellowknife,01-07-2023 14:40,"A medium-sized bird of prey with a dark gray plumage, a white underbody, and a fierce gaze",Unknown,Dark Gray and White,2023-07-01 14:40:00,2023,7,14,90,2
Cattle Egret,Miami,06-07-2023 16:15,"A small heron with a white plumage, a yellow bill, and a habit of following cattle",Unknown,White and Yellow,2023-07-06 16:15:00,2023,7,16,82,2
Giant Kingfisher,Cape Town,27-06-2023 13:30,"A large kingfisher with a dark blue-gray plumage, a long crest, and a large bill",Unknown,Dark Blue-gray,2023-06-27 13:30:00,2023,6,13,80,1
Black Skimmer,New Orleans,02-07-2023 15:45,"A medium-sized seabird with a black upper body, a white underbody, and a distinctive elongated lower bill",Unknown,Black and White,2023-07-02 15:45:00,2023,7,15,105,2
Chestnut-sided Warbler,New York City,28-06-2023 09:55,"A small warbler with a yellow underbody, a chestnut-colored patch on its sides, and a gray head",Male,"Yellow, Chestnut, and Gray",2023-06-28 09:55:00,2023,6,9,95,3
Himalayan Vulture,Kathmandu,03-07-2023 12:40,"A large vulture with a dark brown plumage, a bare yellow face, and a powerful bill",Unknown,"Dark Brown, Yellow, and Powerful",2023-07-03 12:40:00,2023,7,12,82,3
White-faced Whistling Duck,Nairobi,29-06-2023 14:20,"A medium-sized duck with a brownish-gray plumage, a white face patch, and a distinctive whistling call",Unknown,Brownish-gray and White,2023-06-29 14:20:00,2023,6,14,102,2
Dalmatian Pelican,Amsterdam,04-07-2023 16:35,"A large waterbird with a white plumage, a yellow bill, and a distinctive throat pouch",Unknown,White and Yellow,2023-07-04 16:35:00,2023,7,16,85,2
Olive-sided Flycatcher,Vancouver,30-06-2023 09:55,"A small songbird with a brownish-gray plumage, a distinctive white patch on its sides, and a strong voice",Unknown,Brownish-gray and White,2023-06-30 09:55:00,2023,6,9,105,2
American White Pelican,Chicago,05-07-2023 12:30,"A large waterbird with a white plumage, a long bill, and a distinctive throat pouch",Unknown,White,2023-07-05 12:30:00,2023,7,12,83,1
Gray Catbird,New York City,01-07-2023 13:45,A medium-sized songbird with a gray plumage and a black cap,Unknown,Gray and Black,2023-07-01 13:45:00,2023,7,13,59,2
Pied Currawong,Sydney,06-07-2023 15:05,"A medium-sized bird with a black plumage, a white underbody, and a loud, melodious call",Unknown,Black and White,2023-07-06 15:05:00,2023,7,15,87,2
Common Kingfisher,London,27-06-2023 16:30,"A small bird with a bright blue plumage, a rusty-orange underbody, and a long, pointed bill",Unknown,"Blue, Rusty-orange, and Long",2023-06-27 16:30:00,2023,6,16,91,3
Lesser Yellowlegs,Boston,02-07-2023 09:55,A medium-sized wading bird with a mottled brown plumage and long yellow legs,Unknown,Brown and Yellow,2023-07-02 09:55:00,2023,7,9,76,2
Eurasian Hobby,Oslo,28-06-2023 11:20,"A small falcon with a dark gray plumage, a rusty underbody, and a fast flight",Unknown,Dark Gray and Rusty,2023-06-28 11:20:00,2023,6,11,77,2
Red-winged Blackbird,Chicago,03-07-2023 13:40,A medium-sized blackbird with a black plumage and distinctive red shoulder patches,Male,Black and Red,2023-07-03 13:40:00,2023,7,13,82,2
Greater Sage-Grouse,Denver,29-06-2023 16:55,"A large grouse with mottled gray-brown plumage, a fan-shaped tail, and a distinctive display courtship dance",Male,Gray-brown,2023-06-29 16:55:00,2023,6,16,108,1
Atlantic Puffin,Reykjavik,04-07-2023 09:50,"A small seabird with a black back, a white underbody, and a distinctive colorful bill",Unknown,"Black, White, and Colorful",2023-07-04 09:50:00,2023,7,9,85,3
Gray-headed Albatross,Cape Town,30-06-2023 11:15,"A large seabird with a gray head, a white body, and a long wingspan",Unknown,Gray and White,2023-06-30 11:15:00,2023,6,11,67,2
Spotted Sandpiper,Seattle,05-07-2023 14:40,"A small sandpiper with a brownish-gray back, a white underbody, and distinctive spots on its breast",Unknown,Brownish-gray and White,2023-07-05 14:40:00,2023,7,14,99,2
White-tailed Eagle,Oslo,01-07-2023 16:55,"A large bird of prey with a brown plumage, a distinctive white tail, and a hooked yellow bill",Unknown,"Brown, White, and Yellow",2023-07-01 16:55:00,2023,7,16,93,3
Tropical Mockingbird,Rio de Janeiro,06-07-2023 09:25,"A medium-sized songbird with a grayish-brown plumage, a white underbody, and a talent for mimicry",Unknown,Grayish-brown and White,2023-07-06 09:25:00,2023,7,9,97,2
Red-faced Cormorant,Tokyo,02-07-2023 11:40,"A medium-sized seabird with a dark plumage, a red face patch, and a distinctive white flank patch",Unknown,"Dark, Red, and White",2023-07-02 11:40:00,2023,7,11,97,3
American Avocet,San Francisco,07-07-2023 14:10,"A medium-sized wading bird with a black-and-white plumage and long, thin bill",Unknown,Black and White,2023-07-07 14:10:00,2023,7,14,77,2
Ruby-crowned Kinglet,Portland,26-06-2023 16:35,"A small bird with a greenish-gray plumage, a white eye ring, and a ruby-red crown",Male,Greenish-gray and Ruby-red,2023-06-26 16:35:00,2023,6,16,81,2
Egyptian Vulture,Cairo,03-07-2023 10:30,"A medium-sized vulture with a yellow face, a white plumage, and a distinctive bald head",Unknown,"Yellow, White, and Bald",2023-07-03 10:30:00,2023,7,10,87,3
Western Meadowlark,Denver,27-06-2023 12:45,"A medium-sized blackbird with a yellow underbody, a black V-shaped collar, and a melodious song",Male,Yellow and Black,2023-06-27 12:45:00,2023,6,12,95,2
Common Merganser,Vancouver,04-07-2023 15:50,"A medium-sized diving duck with a grayish-brown plumage, a white underbody, and a slender, serrated bill",Unknown,Grayish-brown and White,2023-07-04 15:50:00,2023,7,15,104,2
Greater Scaup,Calgary,28-06-2023 09:55,A medium-sized diving duck with a black-and-white plumage and a blue-gray bill,Unknown,"Black, White, and Blue-gray",2023-06-28 09:55:00,2023,6,9,78,3
Golden Pheasant,Beijing,05-07-2023 12:30,"A large gamebird with a colorful plumage, including golden, orange, and red",Male,"Golden, Orange, and Red",2023-07-05 12:30:00,2023,7,12,75,3
Palm Warbler,Miami,29-06-2023 13:45,"A small warbler with a brownish plumage, a rusty cap, and a distinctive tail wagging behavior",Unknown,Brownish and Rusty,2023-06-29 13:45:00,2023,6,13,93,2
Black-winged Stilt,Mumbai,06-07-2023 16:15,"A tall wading bird with long pink legs, a black-and-white plumage, and a long, thin bill",Unknown,"Black, White, and Pink",2023-07-06 16:15:00,2023,7,16,88,3
Eastern Towhee,"Washington,D.C.",07-07-2023 09:55,"A medium-sized sparrow with a black upper body, a rusty underbody, and distinctive white patches on its wings",Male,"Black, Rusty, and White",2023-07-07 09:55:00,2023,7,9,109,3
Roseate Spoonbill,New Orleans,01-07-2023 12:40,"A medium-sized wading bird with a pink plumage, a long, spoon-shaped bill, and a distinctive upward sweep during flight",Unknown,Pink,2023-07-01 12:40:00,2023,7,12,119,1
Eurasian Skylark,London,08-07-2023 14:05,"A small songbird with a brownish plumage, a crest on its head, and a melodious song",Unknown,Brownish,2023-07-08 14:05:00,2023,7,14,83,1
Harpy Eagle,Manaus,23-06-2023 16:30,"A massive bird of prey with a black-and-white plumage, a large crest, and a hooked bill",Unknown,Black and White,2023-06-23 16:30:00,2023,6,16,87,2
Graylag Goose,Amsterdam,02-07-2023 11:45,A large goose with a grayish-brown plumage and a distinctive orange bill,Unknown,Grayish-brown and Orange,2023-07-02 11:45:00,2023,7,11,72,2
Prothonotary Warbler,New Orleans,03-07-2023 14:20,A small warbler with a bright yellow plumage,Male,Yellow,2023-07-03 14:20:00,2023,7,14,44,1
Eurasian Wigeon,London,27-06-2023 16:35,"A medium-sized dabbling duck with a grayish-brown plumage, a white belly, and a distinctive white crown patch",Unknown,Grayish-brown and White,2023-06-27 16:35:00,2023,6,16,109,2
Yellow-crowned Night Heron,Miami,04-07-2023 09:55,"A medium-sized heron with a gray plumage, a distinctive yellow crown, and red eyes",Unknown,"Gray, Yellow, and Red",2023-07-04 09:55:00,2023,7,9,82,3
Black Tern,Chicago,28-06-2023 12:10,"A small tern with a black plumage, a white underbody, and a distinctive forked tail",Unknown,Black and White,2023-06-28 12:10:00,2023,6,12,83,2
Horned Grebe,Vancouver,05-07-2023 14:35,"A small diving bird with a black-and-white plumage, a distinctive golden tuft on its head, and a pointed bill",Unknown,"Black, White, and Golden",2023-07-05 14:35:00,2023,7,14,109,3
Eurasian Blackbird,Edinburgh,29-06-2023 16:55,"A medium-sized blackbird with a black plumage, a bright yellow eye ring, and a melodious song",Unknown,Black and Yellow,2023-06-29 16:55:00,2023,6,16,93,2
African Jacana,Nairobi,06-07-2023 09:25,"A medium-sized wading bird with a brown plumage, long legs, and distinctive ""lily-trotter"" behavior,Unknown,Brown",Unknown,Brown,2023-07-06 09:25:00,2023,7,9,113,1
American Robin,New York City,07-07-2023 11:40,"A medium-sized thrush with a grayish-brown plumage, a rusty-red underbody, and a distinctive ""cheerily-cheer-up"" song,Unknown,Grayish-brown and Rusty-red",Unknown,Grayish-brown and Rusty-red,2023-07-07 11:40:00,2023,7,11,153,2
Violet-crowned Hummingbird,Tucson,08-07-2023 15:05,"A small hummingbird with a green back, a violet crown, and a metallic sheen",Male,"Green, Violet, and Metallic",2023-07-08 15:05:00,2023,7,15,75,3
Griffon Vulture,Madrid,24-06-2023 09:55,"A large vulture with a brown plumage, a white head, and a distinctive white ruff",Unknown,Brown and White,2023-06-24 09:55:00,2023,6,9,80,2
Crimson Rosella,Sydney,01-07-2023 12:30,"A medium-sized parrot with a colorful plumage, including crimson, blue, and green",Unknown,"Crimson, Blue, and Green",2023-07-01 12:30:00,2023,7,12,81,3
Eastern Screech-Owl,Atlanta,08-07-2023 16:15,"A small owl with a mottled gray plumage, a distinctive ear tufts, and a haunting trilling call",Unknown,Gray,2023-07-08 16:15:00,2023,7,16,94,1
